&#009;		9		Horizontal Tab
&#151;		208		En Dash
&#152;		126		Tilde
&#153;		170		Trademark
&#154;		32		UNDEFINED                    UNSUPPORTED
&#155;		62		Greater Than Sign
&#156;		207		Small oe Ligature
&#159;		217		Capital Y Umlaut
&nbsp;		32		Nonbreaking Space
&iexcl;		193		Inverted Exclamation Point
&cent;		162		Cent Sign
&pound;		163		Pound Sign
&current;	219		General Currency Sign
&yen;		180		Yen
&brvbar;	124		Broken Vertical Bar
&sect;		164		Section Sign
&uml;		172		Umlaut
&copy;		169		Copyright
&ordf;		187		Feminine Ordinal
&laquo;		199		Left Angle Quote
&not;		194		Not Sign
&shy;		30		Soft Hyphen
&reg;		168		Registered Trademark
&macr;		248		Macron Accent
&deg;		251		Degree Sign
&plusmn;	177		Plus or Minus
&sup2;		50		Superscript 2
&sup3;		51		Superscript 3
&acute;		171		Acute Accent
&micro;		181		Micro Sign (Greek mu)
&para;		166		Paragraph Sign
&middot;	225		Middle Dot
&ccedil;	254		Cedilla
&sup1;		49		Superscript 1
&ordm;		188		Masculine Ordinal
&raquo;		200		Right Angle Quote
&frac14;	32		Fraction One Fourth          UNSUPPORTED
&frac12;	32		Fraction One Half            UNSUPPORTED
&frac34;	32		Fraction Three Fourths       UNSUPPORTED
&iquest;	192		Inverted Question Mark
&Agrave;	203		Capital A, grave accent
&Aacute;	231		Capital A, acute accent
&Acirc;		229		Capital A, circumflex accent
&Atilde;	204		Capital A, tilde
&Auml;		128		Capital A, umlaut
&Aring;		129		Capital A, ring
&AElig;		174		Capital AE, ligature
&Ccedil;	130		Capital C, cedilla
&Egrave;	233		Capital E, grave accent
&Eacute;	131		Capital E, acute accent
&Ecirc;		230		Capital E, cirumflex accent
&Euml;		232		Capital E, umlaut
&Igrave;	237		Capital I, grave accent
&Iacute;	234		Capital I, acute accent
&Icirc;		235		Capital I, cirumflex accent
&Iuml;		236		Capital I, umlaut
&ETH;		220		Capital eth, Icelandic
&Ntilde;	132		Capital N, tilde
&Ograve;	241		Capital O, grave accent
&Oacute;	238		Capital O, acute accent
&Ocirc;		239		Capital O, cirumflex accent
&Ntilde;	205		Capital O, tilde
&Ouml;		133		Capital O, umlaut
&times;		42		Multiply Sign
&Oslash;	175		Capital O, slash
&Ugrave;	244		Capital U, grave accent
&Uacute;	242		Capital U, acute accent
&Ucirc;		243		Capital U, cirumflex accent
&Uuml;		134		Capital U, umlaut
&Uacute;	89		Capital Y, acute accent      UNSUPPORTED
&THORN;		32		Capital thorn, Icelandic     UNSUPPORTED
&szlig;		167		Small sz ligature, German
&agrave;	136		Small a, grave accent
&aacute;	135		Small a, acute accent
&acirc;		137		Small a, circumflex accent
&atilde;	139		Small a, tilde
&auml;		138		Small a, umlaut
&aring;		140		Small a, ring
&aelig;		190		Small a ligature
&ccedil;	141		Small c, cedilla
&egrave;	143		Small e, grave accent
&eacute;	142		Small e, acute accent
&ecirc;		144		Small e, circumflex accent
&euml;		145		Small e, umlaut
&igrave;	147		Small i, grave accent
&iacute;	146		Small i, acute accent
&icirc;		148		Small i, circumflex accent
&iuml;		149		Small i, umlaut
&eth;		32		Small eth, Icelandic         UNSUPPORTED
&ntilde;	150		Small n, tilde
&ograve;	152		Small o, grave accent
&oacute;	151		Small o, acute accent
&ocirc;		153		Small o, circumflex accent
&otilde;	155		Small o, tilde
&ouml;		154		Small o, umlaut
&divide;	214		Division Sign
&oslash;	191		Small o, slash
&ugrave;	157		Small u, grave accent
&uacute;	156		Small u, acute accent
&ucirc;		158		Small u, circumflex accent
&uuml;		159		Small u, umlaut
&yacute;	121		Small y, acute accent        UNSUPPORTED
&thorn;		32		Small thorn, Icelandic       UNSUPPORTED
&yuml;		216		Small y, umlaut
